Num,MW1,qed1,BJ1,HA1,MLP1,MR1,MW2,VE2,TS2,HD2,RB2,MLP2,Si
1,140.163,0.499445702,2.519155606,3,-0.1315,34.577,184.216,64,54.37,1,2,1.5763,7.9
2,91.113,0.537095396,2.881555878,1,0.7374,29.6987,207.251,76,72.47,1,3,-0.5112,7.8
3,342.297,0.243258468,2.114861902,11,-5.3972,68.6194,206.198,64,57.2,0,2,-1.7623,8.4
4,214.055,0.633168427,5.379464013,0,3.002,24.595,177.211,68,67.26,0,1,0.54328,26.1
5,86.094,0.47635089,2.988598648,1,-0.2825,21.3414,177.211,68,67.26,0,1,0.54328,34.5
6,168.148,0.334025548,3.571887517,4,0.1988,40.198,226.026,88,8.81,0,3,2.4127,2.35
7,140.163,0.499445702,2.519155606,3,-0.1315,34.577,291.076,74,57.2,0,2,1.2312,0.1
8,544.135,0.324333839,7.073657635,4,4.4992,57.1336,291.076,74,57.2,0,2,1.2312,-1.5
9,60.052,0.424937463,2.339092315,2,-0.0518,11.904,39.997,8,30,0,0,-3.1728,11.1
10,342.297,0.243258468,2.114861902,11,-5.3972,68.6194,39.997,8,30,0,0,-3.1728,24
11,64.065,0.374089959,3.265986324,2,-0.6702,8.9198,177.211,68,67.26,0,1,0.54328,14.8
12,18.015,0.327747677,0,0,-0.8247,3.6138,227.19,82,8.81,0,3,3.2345,-0.618
13,18.015,0.327747677,0,0,-0.8247,3.6138,420.377,148,89.12,1,5,1.3879,-0.941
14,18.015,0.327747677,0,0,-0.8247,3.6138,312.238,116,8.81,0,5,5.2753,-1.005
15,18.015,0.327747677,0,0,-0.8247,3.6138,447.423,160,91.19,0,7,2.9522,-0.78
16,18.015,0.327747677,0,0,-0.8247,3.6138,340.292,128,8.81,0,7,6.0555,-1.069
17,18.015,0.327747677,0,0,-0.8247,3.6138,475.477,172,91.19,0,9,3.7324,-0.38
18,18.015,0.327747677,0,0,-0.8247,3.6138,226.026,88,8.81,0,3,2.4127,-0.609
19,18.015,0.327747677,0,0,-0.8247,3.6138,294.18,76,8.81,0,5,-1.1031,-0.13
20,18.015,0.327747677,0,0,-0.8247,3.6138,230.783,88,8.81,0,7,-0.3229,0.642
21,130.231,0.54704837,2.595082707,1,2.3392,40.4618,753.339,320,66.2,0,44,17.2477,4.44
22,186.339,0.512982181,2.758149818,1,3.8996,58.9298,304.475,128,66.2,0,12,4.7645,7.16
23,130.231,0.54704837,2.595082707,1,2.3392,40.4618,304.475,128,66.2,0,12,4.7645,2.8
24,62.068,0.407527891,1.974744871,2,-1.029,14.1716,304.475,128,66.2,0,12,4.7645,3.4
25,18.015,0.327747677,0,0,-0.8247,3.6138,304.475,128,66.2,0,12,4.7645,1.03
26,186.339,0.512982181,2.758149818,1,3.8996,58.9298,753.339,320,66.2,0,44,17.2477,4.44
27,130.231,0.54704837,2.595082707,1,2.3392,40.4618,563.774,208,0,0,28,9.45,2.84
28,214.055,0.633168427,5.379464013,0,3.002,24.595,391.315,136,91.19,0,3,1.3918,-4
29,204.269,0.546359941,0.000000265,2,3.0651,63.363,391.315,136,91.19,0,3,1.3918,1.9
30,18.015,0.327747677,0,0,-0.8247,3.6138,391.315,136,91.19,0,3,1.3918,-0.85
31,214.055,0.633168427,5.379464013,0,3.002,24.595,177.211,68,67.26,0,1,0.54328,23.1
32,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,177.211,68,67.26,0,1,0.54328,13.5
33,733.828,0.04268911,1.681750676,11,-7.2633,179.531,177.211,68,67.26,0,1,0.54328,22.1
34,322.266,0.405740034,1.709027018,10,-3.3744,62.9992,177.211,68,67.26,0,1,0.54328,11.9
35,214.055,0.633168427,5.379464013,0,3.002,24.595,260.237,94,66.01,0,1,0.3839,27.3
36,18.015,0.327747677,0,0,-0.8247,3.6138,398.436,144,89.9,1,6,4.27362,5
37,18.015,0.327747677,0,0,-0.8247,3.6138,163.692,62,0,0,0,-1.6474,19
38,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,97.994,32,77.76,3,0,-0.9286,1.6
39,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,56.105,8,30,0,0,-3.1728,17.7
40,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,101.102,24,66.2,0,0,-3.2351,20.6
41,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,74.551,8,0,0,0,-5.992,21.5
42,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,119.002,8,0,0,0,-5.992,34.9
43,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,149.894,8,0,0,0,-5.992,47.4
44,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,166.002,8,0,0,0,-5.992,49
45,44.053,0.432688626,2.539538861,1,-0.1783,10.8138,259.809,8,0,0,0,-5.992,52.9
46,86.094,0.47635089,2.988598648,1,-0.2825,21.3414,215.721,84,60.69,3,4,-3.95,19.5
47,86.094,0.47635089,2.988598648,1,-0.2825,21.3414,245.747,96,80.92,4,5,-4.5891,13.4
48,86.094,0.47635089,2.988598648,1,-0.2825,21.3414,213.709,82,89.34,3,3,-3.8972,12.1
49,342.297,0.243258468,2.114861902,11,-5.3972,68.6194,177.211,68,67.26,0,1,0.54328,18.04
50,342.297,0.243258468,2.114861902,11,-5.3972,68.6194,391.315,136,91.19,0,3,1.3918,3.16
51,342.297,0.243258468,2.114861902,11,-5.3972,68.6194,197.972,76,8.81,0,1,1.6325,5.74
